Url,Start,Stop
http://localhost:8080/tools.descartes.teastore.webui/,269366604976699,269366622944000
http://localhost:8080/tools.descartes.teastore.webui/,269366626540699,269366643223100
http://localhost:8080/tools.descartes.teastore.webui/,269366701612000,269366717894700
http://localhost:8080/tools.descartes.teastore.webui/,269366765828299,269366781358200
http://localhost:8080/tools.descartes.teastore.webui/,269366891902700,269366919118200
http://localhost:8080/tools.descartes.teastore.webui/,269367013444299,269367035882100
http://localhost:8080/tools.descartes.teastore.webui/,269367134778700,269367152232500
http://localhost:8080/tools.descartes.teastore.webui/,269367134703500,269367152260500
http://localhost:8080/tools.descartes.teastore.webui/,269367275623500,269367290275499
http://localhost:8080/tools.descartes.teastore.webui/,269367297339800,269367311678899
http://localhost:8080/tools.descartes.teastore.webui/,269367409502799,269367427669800
http://localhost:8080/tools.descartes.teastore.webui/,269367475981200,269367501689100
http://localhost:8080/tools.descartes.teastore.webui/,269367491846300,269367507954199
http://localhost:8080/tools.descartes.teastore.webui/,269367601909700,269367618239499
http://localhost:8080/tools.descartes.teastore.webui/,269367655418700,269367672241100
http://localhost:8080/tools.descartes.teastore.webui/,269367742191699,269367759537799
http://localhost:8080/tools.descartes.teastore.webui/,269367851847600,269367870121000
http://localhost:8080/tools.descartes.teastore.webui/,269367876251599,269367891400200
http://localhost:8080/tools.descartes.teastore.webui/,269367932244400,269367950123200
http://localhost:8080/tools.descartes.teastore.webui/,269368004668800,269368020274800
http://localhost:8080/tools.descartes.teastore.webui/,269368086516900,269368101993400
http://localhost:8080/tools.descartes.teastore.webui/,269368207116400,269368224441599
http://localhost:8080/tools.descartes.teastore.webui/,269368315853699,269368336449200
http://localhost:8080/tools.descartes.teastore.webui/,269368324898300,269368343290000
http://localhost:8080/tools.descartes.teastore.webui/,269368430362800,269368446432599
http://localhost:8080/tools.descartes.teastore.webui/,269368498033700,269368513022599
http://localhost:8080/tools.descartes.teastore.webui/,269368606572300,269368622093200
http://localhost:8080/tools.descartes.teastore.webui/,269368706198900,269368724121899
http://localhost:8080/tools.descartes.teastore.webui/,269368730519899,269368746792100
http://localhost:8080/tools.descartes.teastore.webui/,269368779848399,269368797055499
http://localhost:8080/tools.descartes.teastore.webui/,269368823003700,269368841694600
http://localhost:8080/tools.descartes.teastore.webui/,269368945010799,269368966649900
http://localhost:8080/tools.descartes.teastore.webui/,269368981960600,269368996204200
http://localhost:8080/tools.descartes.teastore.webui/,269369098979300,269369118006500
http://localhost:8080/tools.descartes.teastore.webui/,269369098944499,269369119147500
http://localhost:8080/tools.descartes.teastore.webui/,269369284214600,269369305683700
http://localhost:8080/tools.descartes.teastore.webui/,269369380657400,269369403820200
http://localhost:8080/tools.descartes.teastore.webui/,269369391133300,269369418910100
http://localhost:8080/tools.descartes.teastore.webui/,269369418160800,269369453729800
http://localhost:8080/tools.descartes.teastore.webui/,269369508834699,269369532542500
http://localhost:8080/tools.descartes.teastore.webui/login,269370472235200,269370778975400
http://localhost:8080/tools.descartes.teastore.webui/login,269369951933500,269370778979400
http://localhost:8080/tools.descartes.teastore.webui/login,269370424254400,269370778987100
http://localhost:8080/tools.descartes.teastore.webui/login,269369804353500,269370779172200
http://localhost:8080/tools.descartes.teastore.webui/login,269370034957700,269370779312399
http://localhost:8080/tools.descartes.teastore.webui/login,269370293738699,269370779365899
http://localhost:8080/tools.descartes.teastore.webui/login,269369728980500,269370779811100
http://localhost:8080/tools.descartes.teastore.webui/login,269370721741100,269370779838900
http://localhost:8080/tools.descartes.teastore.webui/login,269369652136000,269370779908200
http://localhost:8080/tools.descartes.teastore.webui/login,269370121872100,269370779965500
http://localhost:8080/tools.descartes.teastore.webui/login,269369568078099,269370780087000
http://localhost:8080/tools.descartes.teastore.webui/login,269369785601800,269370780217700
http://localhost:8080/tools.descartes.teastore.webui/login,269370706169000,269370780376700
http://localhost:8080/tools.descartes.teastore.webui/login,269370651980400,269370780515500
http://localhost:8080/tools.descartes.teastore.webui/login,269369987189100,269370780577400
http://localhost:8080/tools.descartes.teastore.webui/login,269370562949300,269370780662400
http://localhost:8080/tools.descartes.teastore.webui/login,269369872244299,269370780735299
http://localhost:8080/tools.descartes.teastore.webui/login,269370382156300,269370782081700
http://localhost:8080/tools.descartes.teastore.webui/login,269370746264500,269370782216500
http://localhost:8080/tools.descartes.teastore.webui/login,269370824885200,269370840435300
http://localhost:8080/tools.descartes.teastore.webui/login,269370823459799,269370840548200
http://localhost:8080/tools.descartes.teastore.webui/login,269370877531600,269370889304700
http://localhost:8080/tools.descartes.teastore.webui/login,269370935320400,269370950360300
